sample_article	Country	year	article_number	New Type	Content	Female 	 Male	Female 	 Male	female_diff	Male_diff	FEMALE_ERROR	male_error	female_score	Male_score
42	Australia	2007	1	Political	"SYDNEY, Dec 31 (Reuters) - BHP Billiton Ltd , Australia's largest oil and gas producer, said it expects to resume production at its 80,000 barrels per day (bpd) Stybarrow oil field in Western Australia on Monday after a cyclone threat passed.. 

""Stybarrow production is planned to recommence at reduced rates by approximately midday today Western Australian time,"" BHP's spokeswoman Emma Meade said in an e-mail statement. 
"	2	1	2	1	0	0		1	2	1
84	Australia	2003	7	Corporate	"SYDNEY, Dec 29 (Reuters) - Shares in Australia's Gympie Gold Ltd (GYM.AX) were suspended on Monday after the company said abnormal gas levels had raised the potential for an explosion at its Southland coal mine, forcing the evacuation of employees. 

""No persons will re-enter the mine until a safe working environment has been re-established,"" the company said. 
 
TD 
 The eastern Australia colliery's monitoring equipment had detected abnormal gas levels at the mine ""which indicates increased potential for spontaneous combustion of in-situ coal,"" it said. 

Customers of the mine were being advised of a need to re-schedule some shipments, the company said. 

Management was taking action to cool heating in the mine, which could take up to a week to complete, leaving the mine idle for some weeks, it said. 

A statement to the Australian Stock Exchange made no mention of any injuries and company officials were not immediately available for comment. 

Gympie, which also mines gold in eastern Australia, last traded at 56 cents a share. 

 
"	1	1	1	1	0	0			1	1
92	Australia	1992	11	Political	"SYDNEY, Dec 21, Reuter - Results on the final day of four-day Sheffield Shield cricket matches on Monday: 

In Adelaide: New South Wales 399 for five declared and 204 for seven declared, South Australia 215 and 379 (Tim Nielsen 84, Joe Scuderi 50). New South Wales won by nine runs. 
 
TD 
 In Perth: Western Australia 417 and 268 for nine (M. Atkinson 52 not out), Tasmania 457 for nine declared (D. Hills 138). Match drawn. 

In Perth, Western Australia's tail-end batsmen steered their side away from any possibility of defeat against Tasmania at the WACA ground. 

Western Australia slumped to 167 for seven at one stage, just 127 ahead, after Shaun Young had taken five for 37 in an eight-over spell, but the home side finished safe enough on 268 for nine, Mark Atkinson making an unbeaten 52
 
"	1	2	1	2	0	0			1	2
103	Australia	2002	23	Political	"SYDNEY, Dec 13 (Reuters) - Detained Indonesian cleric Abu Bakar Bashir has told a newspaper that Australia would be ""destroyed instantly"" if it struck pre-emptively against a Muslim country to prevent an attack by Islamic militants. 

In an interview conducted on Wednesday and published in The Sydney Morning Herald on Friday, Bashir said conservative Prime Minister John Howard was an ally of ""George W. Bush, the worst and most evil president in the world"". 
 
TD 
 He said Howard's controversial affirmation of Australia's right to launch a pre-emptive strike in another country if it found out that militants planned an attack was a ""crazy idea"" - echoing the outrage expressed by Southeast Asian governments. 

""Australian people, God willing, have no problem with Islam. However, usually, Australian leaders do influence their people a lot to make enemy of Islam, especially the incumbent prime minister,"" Bashir told the paper from a hospital bed in Jakarta, where he is being questioned by police. 

""So, if John Howard's stance is followed by people of Australia, you have to know that there will be war in the world and God willing Australia will be destroyed instantly due to the crazy idea of its prime minister,"" he added. 

The frail and elderly cleric is being questioned by Indonesian police with regard to a bombing campaign against Christian churches. 

The newspaper said it submitted questions to Bashir through an aide who recorded the answers for the Herald. 

The Australian government has suggested the United Nations charter ought to be reformed to take account of a new era of intra-state conflict in the aftermath of the September 11, 2001, attacks on the United States. 

Howard and his defence minister argue that the concept of self defence needs to be expanded to legalise pre-emptive strikes in other countries against suspected militants - a view instantly condemned as ""an act of war"" by Malaysia and denounced by Indonesia, the Philippines and other neighbours in the region. 

In the wide-ranging interview with the Herald, Bashir again denied accusations from regional governments that he was the spiritual leader of radical Southeast Asian Islamic group Jemaah Islamiah and questioned the network's very existence. 

He also denied any knowledge of the October 12 bombings in Bali, which killed more than 180 people, including almost 90 Australians, and instead reiterated his claim that it was an American plot to defame Islam. 

Investigators say they are finding threads linking Bashir to the alleged perpetrators of the Bali attacks, but the cleric told the Herald he did not know any of the people detained in connection with Bali. 

He also rejected reports that he had visited Australia up to 11 times in the 1990s, saying he had been to the island continent ""a couple of times"" at the invitation of local Indonesian and Malaysian Muslims who asked him to conduct religious lectures. 

He said he had no ""relations"" or networks with Australian Muslims. 
 
"	1	5	1	5	0	0			1	5
235	Australia	1996	24	Corporate	"SYDNEY, Dec 24 (Reuter) - Stadium developer Stadium Australia extended the offer period for its gold and platinum packages to March 27, and confirmed that corporations were now able to purchase gold packages. 

The move followed an announcement earlier this month that if the offer period was extended to March 27, it would include corporate investors. 
 
TD 
 ""SOCOG (Sydney Organising Committee for the Olympic Games) has confirmed that corporations are now available to purchase gold packages without specifying individual nominees for the Olympic tickets,"" Stadium Australia's chief executive officer Chris Chapman said in a statment. 

SOCOG has a right of veto where corporate sales would conflict with the interests of Olympic sponsors, he said. 

The extension was also applied to the platinum packages, although enough applications had been received to allow the offer to be fully subscribed, to maintain consistency with the gold package offer, Stadium Australian said. 

Chapman said the extension did not impact on the construction of the stadium, which is due for completion in June 1999. The extension also did not disadvantage Stadium Australia Group or the New South Wales Government he said. 

Stadium Australia is trying to raise A$364.4 million to fund the construction of the main stadium for the Sydney 2000 Olympic Games. 

A total of 34,400 gold packages will be sold for A$10,000 each, giving initial subscribers a seat at every stadium session of the Games, including the opening and closing ceremonies and the men's 100-metres sprint final. 

Buyers will enjoy stadium club membership for 30 years after the Games. They will also get 1,000 shares in the stadium company itself, which will be publicly listed on the Australian stock exchange. 

Stadium Australia was also offering 600 platinum packages at A$33,000 each, with two priority seats attached and greater membership privileges over the following 30 years. 

 
"	1	3	1	4	0	-1			1	3.5
444	Australia	1999	29	Political	"SYDNEY, Dec 28 (Reuters) - Three yachts remained on track to shatter the Sydney-Hobart record on Tuesday but a sharp drop in winds left race leader Nokia becalmed as she neared the finishing line. 

Australian maxis Brindabella and Wild Thing were closing on the round-the-world racer. 
 
TD 
 Nokia, a joint Danish and Australian entry, had led by as much as 16 nautical miles on Monday as the three yachts surfed at breath-taking speeds down Australia's east coast and across Bass Strait towards the island state of Tasmania. 

Race officials have estimated at least 20 yachts - a quarter of the starting fleet - were in a position to better the current record of two days 14 hours seven minutes and 10 seconds set by German maxi Wild Thing in 1996. 

The 60-foot (18-metre) Nokia had been expected to arrive in Hobart around 6:00 a.m. (1900 GMT) on Tuesday - 20 hours inside Morning Glory's mark. 

However, she was virtually becalmed when the wind died as she approached the Derwent River near Hobart. 

""Her estimated time of arrival is later this morning and she is only three nautical miles ahead of the others now,"" a race spokeswoman told Reuters. 

""Wild Thing and Brindabella are still chasing and closing the gap."" 

A finish later on Tuesday morning would still see any one of the leaders in the 75-strong fleet break Morning Glory's mark for the 630 nautical mile bluewater classic by up to half a day. 

British superyacht Mari-Cha III crossed the finish line in Hobart early on Tuesday after just over 42 hours at sea but is only a demonstration entry. The yacht is not eligible for any trophies and cannot take the race record. 

RECORD SPEEDS 

The yachts were pushed south at record speeds by north-easterly winds of up to 40 knots throughout Monday despite heavy rain and poor visibility. 

Some of the yachts had been travelling at rates too fast to be recorded by speed calculation tables at the Royal Yacht Club of Tasmania. 

Nokia reached speeds of up to 25 knots and, by late on Monday, had averaged almost 17 knots since the start in Sydney Harbour at 1:00 p.m. (0200 GMT) on Sunday. 

Brindabella and Wild Thing, a 70-feet (21.3 metre) yacht designed specifically for the Sydney-Hobart, were overtaken by Nokia early on Monday. 

The 22.8 metre (75 feet) Brindabella took line honours in 1997 and was second across the line in last year's tragic race, in which six sailors died when the fleet was hit by a ""weather bomb"" in Bass Strait. 

Nokia, skippered jointly by Australian Michael Spies and Stefan Myralf of Denmark, was third in the 1997-98 Whitbread round-the-world race. 

""She's well sailed with a very good combined Danish and Australian crew,"" race spokesman Peter Campbell said. 

Nokia was given permission to compete under Whitbread 60 class rules which allow it to use water ballast worth the weight of 30 crew to stabilise the hi-tech boat in strong winds. 

Competitors observed a minute's silence on Monday in memory of the six sailors killed in last year's race, when winds of up to 80 knots and mountainous seas of 15-20 metres (50-65 feet) hit the fleet. 

Five yachts - Australian entries Not Negotiable, Cruz Control, Chutzpah and Fun and Games and New Zealand's Sow's Ear - have withdrawn from the starting fleet of 80 yachts with varying degrees of gear damage. 

 
"	3	2	2	2	1	0		1	2.5	2
282	Australia	2004	31	Corporate	"SYDNEY, Dec 21 (Reuters) - Australian nickel miner Mincor Resources NL. (MCR.AX) on Tuesday said startup delays at its Mariners nickel mine could defer production of around 500 tonnes of nickel to the next financial year. 

A boom in commodities demand that has pushed metals such as nickel, used to toughen and add shine to stainless steel, to multiyear price highs has encouraged mining companies to tap new ore bodies. 
 
TD 
 ""This December quarter our production will exceed 2,700 tonnes of nickel in concentrate for the first time in two years,"" Managing Director David Moore said at a briefing. 

""We expect to ramp up from that level to over 3,500 tonnes per quarter in fiscal 2006 (ending June 30, 2006),"" he said. 

The main threat to output targets in the current year ending June 30 was the pace of production at its new Mariners lode in Western Australia, Moore said. 

""We expect to see first production in January, but we have not yet inspected the actual ore body,"" Moore said. 

There could be delays in operations if ground conditions were worse than expected, Moore said. 

""Under the worst-case scenario, perhaps some 500 tonnes of nickel metal would be shifted from fiscal 2005 to fiscal 2006,"" he said. 

Mincor currently mines nickel from its Miitel, Wannaway and Redross deposits in the Kambalda region of Western Australia. 

The company sells what it mines to fellow Australian miner WMC Resources Ltd. (WMR.AX), which smelts the ore into finer material. 

Mincor's shares last traded 1.7 percent firmer at A$0.60, outpacing a firmer overall market. Analysts said Minco was benefiting from an almost 8 percent rise in London Metal Exchange-traded nickel prices overnight to $1,460 a tonne. 

($1=A$1.32). 
 
"	1	3	1	4	0	1			1	3.5
163	Australia	1997	37	Corporate	"SYDNEY, Dec 22 (Reuters) - North American gold miner Homestake Mining Co moved into Australia's depressed gold sector on Monday, announcing an agreed takeover offer for Plutonic Mining Ltd in a US$640 million stock deal. 
 
TD 
 Homestake said the deal would boost its 1998 gold production by about 450,000 ounces to about 2.5 million ounces, and make it the third largest North American producer after Newmont Mining Corp and Barrick Gold Corp. 

The deal, which has been approved by the boards of both companies, would also add immediately to earnings per share and cash flow per share, and generate US$20 million in annual savings, it said. 

If approved by shareholders, investors in Plutonic -- which operates five mines in south-west Western Australia -- will receive 34 Homestake shares for every 100 Plutonic shares. 

At Homestake's closing price on Friday, this values Plutonic at $640 million, an 86 percent premium to its current market capitalisation. 

Homestake chief executive officer Jack Thompson said the company had been able to offer an attractive premium because of the steeper decline in Australian, compared with North American, gold stocks following the slump in the gold price. 

Analysts said the deal, the first big international bid in the Australian gold sector since the collapse in the gold price, could signal further takeover interest. 

""If an American miner like Homestake is prepared to pay an 86 percent premium, then it definitely opens up the whole market,"" said Bell Commodities gold analyst Keith Goode. 

Homestake is already a large Australian gold producer through its half-share in the Kalgoorlie Super Pit and Mt Charlotte mines in Western Australia. 

Plutonic offers it a big boost in gold production -- forecast at 600,000 ounces in 1999 at a cash cost of $185 an ounce -- and substantial exploration ground, much of it in the rich Yilgarn zone of Western Australia. 

""Exploration opportunities are the main reasons why we focused on this target,"" Homestake vice president Australia Dick Tastula told a Sydney media briefing. 

""We believe they have wonderful land in Western Australia which can be considered the best land in the world at this point in time,"" he added. 

Plutonic is also developing the rich Centenary deposit, discovered in 1996 next to its existing Darlot mine. 

Homestake said the acquisition would boost its gold reserves by 11 percent to 22.6 million ounces, and its resources by 65 percent to 21.5 million ounces. 

Cumulative gold production would jump 25 percent to 11.5 million ounces in the next five years, while the average cash cost of production would fall four percent to $227 an ounce. 

Plutonic has been one of Australia's leading gold producers, but its share price has tumbled from above A$7.50 ($4.88) in mid-1996 to a recent low of A$1.95 before closing on Friday at A$2.80. 

Trading in the shares was halted on Monday. 

Plutonic's results slumped to a net loss of A$63.06 million in the first half of calendar 1997 following a severe write-down in the carrying value of its mines. 

The deal is expected to close in April 1998, with documentation sent to shareholders by early March. 

 
"	2	3	2	3	0	0		1	2	3
272	Australia	2003	40	Political	"SYDNEY, Nov 20 (Reuters) - An outbreak of trade protectionism through international tariffs or quotas would be a ""severe disappointment"" and disadvantage all countries, Australian Treasurer Peter Costello said on Thursday. 

Costello said he welcomed economic recovery in the United States, but said it would be a shame if concern the U.S. was not adding enough jobs led to trade penalties. 
 
TD 
 The U.S. dollar fell sharply this week, hitting a record low versus the euro , aftera U.S. move to slap quotas on Chinese textile imports fuelled a belief Washington may be willing to use protectionism to support the economy and jobs. 

""If the world should resort to protectionism measures in the face of that (worry over jobs growth), that will be bad for the world and bad for Australia,"" Costello said at a fund-raising lunch. 

""It it is not a good sign that the world might be moving further towards protectionism. What we know about an international protectionist agenda is that it can damage all parties,"" he said. 

U.S. President George W. Bush said in October he wanted to reach a free-trade agreement with Australia by the end of the year. 

Australia wants U.S. tariffs in agriculture cut heavily and removed within five to 10 years. 

The United States has proposed a slower pace to address U.S. farm lobbies' concerns, particularly over protected dairy and sugar industries. Australia says an agreement could boost exports of U.S. manufactured goods. 

Australia needed to reaffirm to its allies and trading partners the importance of an open trading agenda, Costello said on Thursday. 
 
"	1	5	1	4	0	2			1	4.5
51	Australia	1994	54	Corporate	"SYDNEY, Dec 14 (Reuter) - The Commonwealth Bank of Australia said it has lifted its corporate overdraft and loan rates for prime corporate borrowers to 10.75 percent from 9.8 percent. 

The bank said the increase in the prime rate followed today's increase in official cash rates by one percentage point to 7.5 percent. 
 
TD 
 ""Unless fiscal policy is also tightened sufficiently, monetary policy will have to carry more than its fair share of the economic policy adjustment,"" the bank said in a statement. 

The Commonwealth Bank said it would also lift its index rates for overdrafts and loans for commercial borrowers to 11.25 percent from 10.3 percent. 

The increases in the prime rate and other business loans are effective from January 3. 

The bank also raised its variable home loan interest rate to 10.50 percent from 9.55 percent, effective January 3. 

-- Sydney newsroom 61-2 373-1800 

 
"	1	1	1	1	0	0			1	1
